Country,Region,Year,Happiness.Score,Health.Life.Expectancy,Trust.Government.Corruption,Generosity,Freedom,Social.support,GDP.per.capita
Afghanistan,"Southern Asia",2015,3.575,0.30335,0.09719,0.3651,0.23414,0.30285,0.31982
Albania,"Central and Eastern Europe",2015,4.959,0.81325,0.06413,0.14272,0.35733,0.80434,0.87867
Algeria,"Middle East and Northern Africa",2015,5.605,0.61766,0.17383,0.07822,0.28579,1.07772,0.93929
Angola,"Sub-Saharan Africa",2015,4.033,0.16683,0.07122,0.12344,0.10384,0.8604,0.75778
Argentina,"Latin America and Caribbean",2015,6.574,0.78723,0.08484,0.11451,0.44974,1.24823,1.05351
Armenia,"Central and Eastern Europe",2015,4.35,0.7299,0.039,0.07855,0.19847,0.77711,0.76821
Australia,"Australia and New Zealand",2015,7.284,0.93156,0.35637,0.43562,0.65124,1.30923,1.33358
Austria,"Western Europe",2015,7.2,0.89042,0.18676,0.33088,0.62433,1.29704,1.33723
Azerbaijan,"Central and Eastern Europe",2015,5.212,0.64045,0.16065,0.07799,0.3703,0.93793,1.02389
Bahrain,"Middle East and Northern Africa",2015,5.96,0.74716,0.306,0.17362,0.45492,1.21624,1.32376
Bangladesh,"Southern Asia",2015,4.694,0.60164,0.12569,0.21222,0.4082,0.43106,0.39753
Belarus,"Central and Eastern Europe",2015,5.813,0.73608,0.1909,0.11046,0.37938,1.23289,1.03192
Belgium,"Western Europe",2015,6.937,0.89667,0.2254,0.2225,0.5845,1.28566,1.30782
Benin,"Sub-Saharan Africa",2015,3.34,0.3191,0.0801,0.1826,0.4845,0.35386,0.28665
Bhutan,"Southern Asia",2015,5.253,0.57407,0.15445,0.47998,0.53206,1.10395,0.77042
Bolivia,"Latin America and Caribbean",2015,5.89,0.5392,0.088,0.20536,0.57414,0.97841,0.68133
"Bosnia and Herzegovina","Central and Eastern Europe",2015,4.949,0.79081,0.00227,0.24808,0.09245,0.91916,0.83223
Botswana,"Sub-Saharan Africa",2015,4.332,0.04776,0.12474,0.10461,0.49495,1.10464,0.99355
Brazil,"Latin America and Caribbean",2015,6.983,0.69702,0.17521,0.14574,0.49049,1.23287,0.98124
Bulgaria,"Central and Eastern Europe",2015,4.218,0.76649,0.00872,0.11921,0.30587,1.10614,1.01216
"Burkina Faso","Sub-Saharan Africa",2015,3.587,0.27125,0.12832,0.21747,0.39493,0.85188,0.25812
Burundi,"Sub-Saharan Africa",2015,2.905,0.22396,0.10062,0.19727,0.1185,0.41587,0.0153
Cambodia,"Southeastern Asia",2015,3.819,0.61114,0.07247,0.40359,0.66246,0.62736,0.46038
Cameroon,"Sub-Saharan Africa",2015,4.252,0.23402,0.05786,0.20618,0.49309,0.88767,0.4225
Canada,"North America",2015,7.427,0.90563,0.32957,0.45811,0.63297,1.32261,1.32629
"Central African Republic","Sub-Saharan Africa",2015,3.678,0.06699,0.08289,0.23835,0.48879,0,0.0785
Chad,"Sub-Saharan Africa",2015,3.667,0.1501,0.05269,0.18386,0.23501,0.76062,0.34193
Chile,"Latin America and Caribbean",2015,6.67,0.85857,0.12869,0.33363,0.44132,1.12447,1.10715
China,"Eastern Asia",2015,5.14,0.81658,0.02781,0.08185,0.51697,0.94675,0.89012
Colombia,"Latin America and Caribbean",2015,6.477,0.69077,0.0512,0.18401,0.53466,1.24018,0.91861
Comoros,"Sub-Saharan Africa",2015,3.956,0.36315,0.199,0.17441,0.22917,0.79273,0.23906
"Congo (Brazzaville)","Sub-Saharan Africa",2015,3.989,0.31051,0.11686,0.12388,0.41466,0.6629,0.67866
"Congo (Kinshasa)","Sub-Saharan Africa",2015,4.517,0.09806,0.07625,0.24834,0.22605,1.0012,0
"Costa Rica","Latin America and Caribbean",2015,7.226,0.86027,0.10583,0.25497,0.63376,1.23788,0.95578
Croatia,"Central and Eastern Europe",2015,5.759,0.78805,0.0243,0.05444,0.25883,0.79624,1.08254
Cyprus,"Western Europe",2015,5.689,0.92356,0.06146,0.30638,0.40672,0.89318,1.20813
"Czech Republic","Central and Eastern Europe",2015,6.505,0.84483,0.02652,0.10686,0.46364,1.20643,1.17898
Denmark,"Western Europe",2015,7.527,0.87464,0.48357,0.34139,0.64938,1.36058,1.32548
Djibouti,"Sub-Saharan Africa",2015,4.369,0.36291,0.28105,0.18093,0.46074,0.59207,0.44025
"Dominican Republic","Latin America and Caribbean",2015,4.885,0.66825,0.14234,0.21684,0.57672,1.17202,0.89537
Ecuador,"Latin America and Caribbean",2015,5.975,0.79075,0.1809,0.11541,0.48574,0.99903,0.86402
Egypt,"Middle East and Northern Africa",2015,4.194,0.61712,0.06324,0.11291,0.17288,0.747,0.8818
"El Salvador","Latin America and Caribbean",2015,6.13,0.67737,0.11776,0.10692,0.4035,1.02507,0.76454
Estonia,"Central and Eastern Europe",2015,5.429,0.77361,0.15184,0.0868,0.44888,1.22791,1.15174
Ethiopia,"Sub-Saharan Africa",2015,4.512,0.44055,0.15048,0.24325,0.4345,0.60406,0.19073
Finland,"Western Europe",2015,7.406,0.88911,0.41372,0.23351,0.64169,1.31826,1.29025
France,"Western Europe",2015,6.575,0.94579,0.20646,0.12332,0.55011,1.26038,1.27778
Gabon,"Sub-Saharan Africa",2015,3.896,0.43372,0.11091,0.06822,0.31914,0.90528,1.06024
Georgia,"Central and Eastern Europe",2015,4.297,0.72926,0.38331,0.05547,0.40577,0.38562,0.7419
Germany,"Western Europe",2015,6.75,0.89186,0.21843,0.28214,0.61477,1.29937,1.32792
Ghana,"Sub-Saharan Africa",2015,4.633,0.40132,0.04355,0.23087,0.42342,0.67954,0.54558
Greece,"Western Europe",2015,4.857,0.88213,0.01397,0,0.07699,0.92933,1.15406
Guatemala,"Latin America and Caribbean",2015,6.123,0.64425,0.09472,0.27489,0.57733,1.04356,0.74553
Guinea,"Sub-Saharan Africa",2015,3.656,0.24009,0.12139,0.28657,0.37725,0.46475,0.17417
Haiti,"Latin America and Caribbean",2015,4.518,0.38847,0.17175,0.46187,0.24425,0.74302,0.26673
Honduras,"Latin America and Caribbean",2015,4.788,0.6951,0.06825,0.23027,0.40148,0.95348,0.59532
"Hong Kong","Eastern Asia",2015,5.474,1.01328,0.37124,0.39478,0.59608,1.05818,1.38604
Hungary,"Central and Eastern Europe",2015,4.8,0.75905,0.02758,0.128,0.32112,1.20215,1.12094
Iceland,"Western Europe",2015,7.561,0.94784,0.14145,0.4363,0.62877,1.40223,1.30232
India,"Southern Asia",2015,4.565,0.51529,0.08492,0.26475,0.39786,0.38174,0.64499
Indonesia,"Southeastern Asia",2015,5.399,0.63793,0,0.51535,0.46611,1.08708,0.82827
Iran,"Middle East and Northern Africa",2015,4.686,0.69805,0.05863,0.38086,0.30033,0.54447,1.0088
Iraq,"Middle East and Northern Africa",2015,4.677,0.60237,0.13788,0.17922,0,0.81889,0.98549
Ireland,"Western Europe",2015,6.94,0.89533,0.28703,0.45901,0.61777,1.36948,1.33596
Israel,"Middle East and Northern Africa",2015,7.278,0.91387,0.07785,0.33172,0.41319,1.22393,1.22857
Italy,"Western Europe",2015,5.948,0.95446,0.02901,0.22823,0.26236,1.19777,1.25114
"Ivory Coast","Sub-Saharan Africa",2015,3.655,0.15185,0.17922,0.20165,0.46866,0.77115,0.46534
Jamaica,"Latin America and Caribbean",2015,5.709,0.68741,0.02299,0.2123,0.50442,1.15102,0.81038
Japan,"Eastern Asia",2015,5.987,0.99111,0.1806,0.10705,0.49615,1.25712,1.27074
Jordan,"Middle East and Northern Africa",2015,5.192,0.69639,0.14293,0.11053,0.40661,1.05392,0.90198
Kazakhstan,"Central and Eastern Europe",2015,5.855,0.64368,0.08454,0.11827,0.51649,1.12241,1.12254
Kenya,"Sub-Saharan Africa",2015,4.419,0.41435,0.05839,0.37542,0.42215,0.99876,0.36471
Kosovo,"Central and Eastern Europe",2015,5.589,0.63132,0.04741,0.2831,0.24749,0.81198,0.80148
Kuwait,"Middle East and Northern Africa",2015,6.295,0.72492,0.25609,0.16228,0.55499,1.16594,1.55422
Kyrgyzstan,"Central and Eastern Europe",2015,5.286,0.65088,0.04232,0.3003,0.43477,1.15115,0.47428
Laos,"Southeastern Asia",2015,4.876,0.54909,0.24249,0.42192,0.59591,0.73803,0.59066
Latvia,"Central and Eastern Europe",2015,5.098,0.72437,0.06332,0.18226,0.29671,1.09562,1.11312
Lebanon,"Middle East and Northern Africa",2015,4.839,0.83947,0.04582,0.21854,0.33916,0.80001,1.02564
Lesotho,"Sub-Saharan Africa",2015,4.898,0.07612,0.12504,0.16388,0.31767,1.04103,0.37545
Liberia,"Sub-Saharan Africa",2015,4.571,0.34201,0.06232,0.24362,0.28531,0.78968,0.0712
Libya,"Middle East and Northern Africa",2015,5.754,0.7038,0.11023,0.18295,0.41668,1.11862,1.13145
Lithuania,"Central and Eastern Europe",2015,5.833,0.73128,0.01031,0.02641,0.21342,1.25745,1.14723
Luxembourg,"Western Europe",2015,6.946,0.91894,0.37798,0.28034,0.61583,1.21963,1.56391
Macedonia,"Central and Eastern Europe",2015,5.007,0.73545,0.05327,0.22359,0.33457,1.00232,0.91851
Madagascar,"Sub-Saharan Africa",2015,3.681,0.46721,0.08124,0.21333,0.19184,0.66801,0.20824
Malawi,"Sub-Saharan Africa",2015,4.292,0.22562,0.06977,0.33128,0.43054,0.41134,0.01604
Malaysia,"Southeastern Asia",2015,5.77,0.72394,0.10501,0.33075,0.53024,1.07023,1.12486
Mali,"Sub-Saharan Africa",2015,3.995,0.20583,0.12352,0.18798,0.38857,1.03526,0.26074
Malta,"Western Europe",2015,6.302,0.88721,0.13586,0.51752,0.60365,1.30203,1.2074
Mauritania,"Sub-Saharan Africa",2015,4.436,0.35874,0.17461,0.219,0.24232,0.86908,0.45407
Mauritius,"Sub-Saharan Africa",2015,5.477,0.7095,0.07521,0.37744,0.56066,0.98521,1.00761
Mexico,"Latin America and Caribbean",2015,7.187,0.81444,0.21312,0.14074,0.48181,0.91451,1.02054
Moldova,"Central and Eastern Europe",2015,5.889,0.61826,0.01615,0.20951,0.32818,1.01528,0.59448
Mongolia,"Eastern Asia",2015,4.874,0.60268,0.02666,0.3323,0.43626,1.3006,0.82819
Montenegro,"Central and Eastern Europe",2015,5.192,0.72521,0.14296,0.1614,0.1826,0.90557,0.97438
Morocco,"Middle East and Northern Africa",2015,5.013,0.60954,0.08546,0.07172,0.41691,0.64095,0.73479
Mozambique,"Sub-Saharan Africa",2015,4.971,0.09131,0.15603,0.22269,0.34037,1.02626,0.08308
Myanmar,"Southeastern Asia",2015,4.307,0.48246,0.19034,0.79588,0.44017,0.70905,0.27108
Nepal,"Southern Asia",2015,4.514,0.56874,0.05907,0.32296,0.38282,0.86449,0.35997
Netherlands,"Western Europe",2015,7.378,0.89284,0.31814,0.4761,0.61576,1.28017,1.32944
"New Zealand","Australia and New Zealand",2015,7.286,0.90837,0.42922,0.47501,0.63938,1.31967,1.25018
Nicaragua,"Latin America and Caribbean",2015,5.828,0.74314,0.19317,0.27815,0.55475,1.14184,0.59325
Niger,"Sub-Saharan Africa",2015,3.845,0.29707,0.15639,0.19387,0.47692,0.77265,0.0694
Nigeria,"Sub-Saharan Africa",2015,5.268,0.16007,0.0403,0.27233,0.34334,0.90432,0.65435
"North Cyprus","Western Europe",2015,5.695,0.92356,0.1428,0.26169,0.49027,1.07008,1.20806
Norway,"Western Europe",2015,7.522,0.88521,0.36503,0.34699,0.66973,1.33095,1.459
Oman,"Middle East and Northern Africa",2015,6.853,0.76276,0.32524,0.21542,0.63274,1.08182,1.36011
Pakistan,"Southern Asia",2015,5.194,0.51466,0.10464,0.33671,0.12102,0.41411,0.59543
"Palestinian Territories","Middle East and Northern Africa",2015,4.715,0.66015,0.12905,0.11251,0.24499,0.92558,0.59867
Panama,"Latin America and Caribbean",2015,6.786,0.79661,0.0927,0.24434,0.5421,1.1985,1.06353
Paraguay,"Latin America and Caribbean",2015,5.878,0.66098,0.08242,0.3424,0.53899,1.30477,0.75985
Peru,"Latin America and Caribbean",2015,5.824,0.73017,0.05989,0.14982,0.41496,0.97459,0.90019
Philippines,"Southeastern Asia",2015,5.073,0.58114,0.12279,0.24991,0.62545,1.03516,0.70532
Poland,"Central and Eastern Europe",2015,5.791,0.77903,0.04212,0.16759,0.53122,1.27948,1.12555
Portugal,"Western Europe",2015,5.102,0.87519,0.01078,0.13719,0.51469,1.13935,1.15991
Qatar,"Middle East and Northern Africa",2015,6.611,0.79733,0.52208,0.32573,0.6404,1.0786,1.69042
Romania,"Central and Eastern Europe",2015,5.124,0.7689,0.00649,0.13748,0.35068,0.88588,1.04345
Russia,"Central and Eastern Europe",2015,5.716,0.66926,0.03005,0.00199,0.36679,1.23617,1.13764
Rwanda,"Sub-Saharan Africa",2015,3.465,0.42864,0.55191,0.22628,0.59201,0.7737,0.22208
"Saudi Arabia","Middle East and Northern Africa",2015,6.411,0.72025,0.32524,0.13706,0.31048,1.08393,1.39541
Senegal,"Sub-Saharan Africa",2015,3.904,0.4354,0.10713,0.20843,0.36772,0.97619,0.36498
Serbia,"Central and Eastern Europe",2015,5.123,0.74836,0.02617,0.19231,0.20107,1.00964,0.92053
"Sierra Leone","Sub-Saharan Africa",2015,4.507,0,0.08786,0.21488,0.4084,0.95571,0.33024
Singapore,"Southeastern Asia",2015,6.798,1.02525,0.4921,0.31105,0.54252,1.02,1.52186
Slovakia,"Central and Eastern Europe",2015,5.995,0.78902,0.03431,0.16893,0.31751,1.26999,1.16891
Slovenia,"Central and Eastern Europe",2015,5.848,0.87337,0.03787,0.25328,0.60855,1.27385,1.18498
"Somaliland region","Sub-Saharan Africa",2015,5.057,0.43873,0.39928,0.50318,0.46582,0.95152,0.18847
"South Africa","Sub-Saharan Africa",2015,4.642,0.27688,0.08884,0.11973,0.33207,1.18468,0.92049
"South Korea","Eastern Asia",2015,5.984,0.96538,0.07857,0.18557,0.33208,0.95774,1.24461
Spain,"Western Europe",2015,6.329,0.95562,0.06398,0.18227,0.45951,1.31379,1.23011
"Sri Lanka","Southern Asia",2015,4.271,0.70806,0.09179,0.40828,0.53726,1.01905,0.83524
Sudan,"Sub-Saharan Africa",2015,4.55,0.36878,0.1466,0.19062,0.10081,1.01404,0.52107
Suriname,"Latin America and Caribbean",2015,6.269,0.6082,0.13633,0.16991,0.59657,0.972,0.99534
Swaziland,"Sub-Saharan Africa",2015,4.867,0.07566,0.0306,0.18259,0.30658,1.07284,0.71206
Sweden,"Western Europe",2015,7.364,0.91087,0.43844,0.36262,0.6598,1.28907,1.33171
Switzerland,"Western Europe",2015,7.587,0.94143,0.41978,0.29678,0.66557,1.34951,1.39651
Syria,"Middle East and Northern Africa",2015,3.006,0.72193,0.18906,0.47179,0.15684,0.47489,0.6632
Taiwan,"Eastern Asia",2015,6.298,0.8753,0.08129,0.25376,0.3974,1.07617,1.29098
Tajikistan,"Central and Eastern Europe",2015,4.786,0.57379,0.15072,0.22974,0.47216,0.85563,0.39047
Tanzania,"Sub-Saharan Africa",2015,3.781,0.38215,0.05747,0.34377,0.32878,1.00268,0.2852
Thailand,"Southeastern Asia",2015,6.455,0.7385,0.03187,0.5763,0.55664,1.26504,0.9669
Togo,"Sub-Saharan Africa",2015,2.839,0.28443,0.10731,0.16681,0.36453,0.13995,0.20868
"Trinidad and Tobago","Latin America and Caribbean",2015,6.168,0.61483,0.0114,0.31844,0.55884,1.18354,1.21183
Tunisia,"Middle East and Northern Africa",2015,4.739,0.73793,0.06358,0.06431,0.26268,0.60429,0.88113
Turkey,"Middle East and Northern Africa",2015,5.332,0.73172,0.15746,0.12253,0.22815,0.94632,1.06098
Turkmenistan,"Central and Eastern Europe",2015,5.548,0.53886,0.30844,0.16979,0.4761,1.22668,0.95847
Uganda,"Sub-Saharan Africa",2015,3.931,0.33861,0.07267,0.29066,0.45727,1.13299,0.21102
Ukraine,"Central and Eastern Europe",2015,4.681,0.6739,0.02961,0.15275,0.25123,1.20278,0.79907
"United Arab Emirates","Middle East and Northern Africa",2015,6.901,0.80925,0.38583,0.26428,0.64157,1.12575,1.42727
"United Kingdom","Western Europe",2015,6.867,0.90943,0.32067,0.51912,0.59625,1.28548,1.26637
"United States","North America",2015,7.119,0.86179,0.1589,0.40105,0.54604,1.24711,1.39451
Uruguay,"Latin America and Caribbean",2015,6.485,0.8116,0.24558,0.2324,0.60362,1.2089,1.06166
Uzbekistan,"Central and Eastern Europe",2015,6.003,0.59772,0.30826,0.22837,0.65821,1.34043,0.63244
Venezuela,"Latin America and Caribbean",2015,6.81,0.72052,0.11069,0.05841,0.42908,1.25596,1.04424
Vietnam,"Southeastern Asia",2015,5.36,0.74676,0.10441,0.1686,0.59444,0.91226,0.63216
Yemen,"Middle East and Northern Africa",2015,4.077,0.40064,0.07854,0.09131,0.35571,0.68093,0.54649
Zambia,"Sub-Saharan Africa",2015,5.129,0.29924,0.12468,0.19591,0.48827,0.91612,0.47038
Zimbabwe,"Sub-Saharan Africa",2015,4.61,0.33475,0.08079,0.18987,0.25861,1.03276,0.271
Afghanistan,"Southern Asia",2016,3.36,0.17344,0.07112,0.31268,0.1643,0.11037,0.38227
